Parent 1 Highest Grade,Race,Sex,Self Esteem Score,AFQT Percentile Score,Type of Residence 1983,Average Drinks 2008,Highest Grade,Fam Size 1979,Foreign Language,Library Card,Parent Cohabitation,Number Siblings,First Marijuana Use,Income 2018
9,3,1,20,24193,-4,-4,12,5,0,0,-4,4,18,-5
9,3,2,26,88518,-4,-4,16,5,0,1,-4,4,18,54000
12,3,1,23,34983,11,-5,12,5,0,0,-4,4,-4,-5
9,3,1,28,43176,17,4,12,5,0,1,-4,4,16,22000
8,3,2,23,52129,-4,-4,12,5,0,1,-4,4,16,-5
9,3,2,24,83732,3,1,16,4,0,1,-4,3,18,135000
9,3,2,18,49106,17,1,16,5,0,1,-4,2,-2,125000
12,3,1,24,57768,11,5,12,6,0,1,-4,3,-4,50000
12,3,1,20,92189,11,6,16,6,0,1,-4,3,16,0
11,3,2,18,53889,11,-5,12,6,0,1,-4,3,13,-5
10,3,1,29,67243,17,-5,12,5,0,1,-4,2,-5,0
13,3,1,19,49313,11,-5,13,3,1,1,-4,1,-5,-5
13,3,2,27,94747,11,-5,13,3,0,1,1,3,-5,-5
9,3,1,23,74571,1,2,12,9,0,1,-4,6,15,-5
8,3,1,19,73204,-4,3,12,9,0,1,-4,6,20,50000
12,3,1,30,68957,-4,4,12,4,0,1,-4,5,16,-5
12,3,1,23,95111,-4,1,18,4,1,1,-4,5,-4,0
11,3,2,23,-4,17,-5,16,3,0,1,-4,6,-5,-5
13,3,2,20,50820,11,2,13,8,0,1,-4,5,19,3828
11,3,1,22,60974,11,-4,14,8,0,1,-4,5,16,95000
10,3,1,20,80835,-4,-5,12,8,0,1,-4,5,-5,-5
8,3,2,17,87803,11,-5,19,8,0,1,-4,5,20,0
13,3,2,17,75354,11,-5,16,5,0,0,-4,3,-5,-5
9,3,2,21,92292,3,-5,17,5,0,0,-4,3,16,-5
14,3,1,26,77251,11,1,18,3,0,0,-4,1,-4,200000
10,3,2,28,81344,-4,-4,14,6,0,1,-4,3,-4,0
13,3,1,23,98716,3,-5,16,3,0,0,-4,1,-5,120000
12,3,2,28,100000,17,1,16,3,0,0,-3,1,-4,24000
10,3,1,30,74327,3,2,17,4,0,1,-4,1,19,85000
8,3,1,20,82125,3,2,20,4,0,1,-4,1,12,175000
9,3,1,19,8961,-4,5,10,3,1,1,-4,2,8,40000
9,3,2,21,61426,-4,3,14,6,0,1,-4,12,18,-5
12,3,1,24,45018,11,3,14,6,1,0,-4,4,23,38000
12,3,2,19,40697,11,-5,12,6,0,0,-4,4,-5,-5
12,3,2,18,64311,-4,1,15,6,0,0,-4,4,-4,22000
12,3,1,20,74936,11,-4,12,6,0,0,-4,4,-4,42000
8,3,2,17,69055,17,-4,12,3,0,1,-4,0,14,8000
13,3,2,20,45032,11,1,13,2,0,1,1,3,18,41000
14,2,2,29,85024,17,-4,19,5,0,1,-4,2,-4,15000
11,2,1,28,63447,11,-4,17,5,0,1,-4,2,-4,40000
11,3,1,19,96819,3,2,19,6,1,0,-4,3,19,43000
14,3,1,27,89103,11,-5,19,1,0,1,1,1,-5,-5
11,3,2,19,55896,-4,2,12,4,0,1,-4,2,16,100000
14,3,2,29,58532,17,2,16,4,0,1,-4,1,-4,396970
9,3,2,27,82180,3,1,18,4,0,1,-4,1,20,42000
9,3,2,18,51236,17,2,12,5,0,1,-4,2,-4,21000
12,3,1,27,38573,-4,4,12,6,0,0,-4,1,20,45000
10,3,1,21,43302,-4,1,12,6,0,0,-4,4,-4,396970
9,3,2,21,77003,-4,1,13,5,0,1,-4,2,15,114000
11,3,2,29,56140,-4,2,14,1,0,0,-4,1,20,-5
11,3,2,18,99453,11,-4,14,4,0,1,-4,1,-4,10000
9,3,1,22,78718,17,-4,12,4,0,1,-4,1,17,50000
10,3,2,18,28527,11,-4,12,6,0,1,-4,4,16,18000
-3,3,2,14,572,17,-4,12,6,0,1,-4,4,-4,1015
8,3,2,18,67565,11,3,12,6,0,1,-4,4,-4,35000
11,3,1,30,91683,17,4,13,4,0,1,-4,2,18,-5
12,3,1,24,97873,3,2,20,4,0,1,-4,2,17,0
10,3,1,28,98634,3,-4,18,5,0,1,-4,2,17,160000
13,3,1,30,89343,11,1,13,4,0,1,-4,1,-4,-1
6,2,2,16,1145,17,-4,8,8,0,0,-4,5,14,0
8,2,2,16,3283,-4,-5,8,8,0,0,-4,5,-4,-5
9,2,1,19,16527,-4,6,9,8,0,1,-4,5,-4,29000
10,3,2,22,22175,-5,-5,12,3,1,1,-4,0,-5,-5
13,3,1,26,96452,-4,2,16,4,0,1,-4,2,16,113000
11,1,1,18,21626,-4,6,11,4,1,0,-4,5,16,0
9,1,1,16,29955,-4,-5,12,4,1,0,-4,3,-4,0
11,1,2,24,44505,11,-4,16,5,1,1,-4,3,-5,-1
9,1,1,29,78896,11,-4,12,4,1,1,-4,3,-5,-2
7,1,2,16,22938,-4,2,12,5,1,0,-4,3,-4,0
14,1,2,21,47051,17,4,14,3,1,1,-4,2,15,48000
10,1,1,19,1277,-4,-5,9,2,1,1,-4,4,-5,-5
8,3,1,20,-4,11,-5,7,5,0,1,-4,6,16,-5
8,3,1,15,16201,1,-5,12,5,1,0,-4,6,18,-5
11,1,2,23,10456,11,2,12,6,1,1,-4,3,-4,45000
10,1,1,19,-4,-4,-5,12,6,1,1,-4,3,-4,17000
12,3,1,30,84104,-4,-4,16,4,0,1,-4,2,-4,0
15,3,2,26,64978,-4,-4,20,4,0,1,-4,2,-4,0
12,3,1,27,84126,1,-4,12,6,0,0,-4,3,16,-5
14,3,2,27,60446,11,-4,19,6,0,1,-4,3,-4,0
12,3,1,20,13410,-4,-4,12,6,0,1,-4,3,-4,-1
10,3,2,15,61654,-4,2,14,6,0,1,-4,3,-4,0
11,1,1,29,55405,-4,3,13,4,1,0,-4,2,14,52000
11,1,1,23,33772,11,-5,13,5,1,1,-4,2,22,72000
10,1,1,28,14537,17,-5,12,5,1,1,-4,2,-5,-5
10,3,1,11,50333,1,2,15,4,0,1,-4,1,16,-5
10,1,2,10,14453,-4,-4,12,3,1,1,-4,0,-4,30000
16,1,2,30,75710,11,-5,20,4,1,1,-4,2,20,-5
10,3,2,22,39989,-4,5,13,3,0,0,-4,5,13,48000
10,1,2,27,20051,11,-5,9,7,1,1,-4,4,-5,-5
15,3,1,30,94381,11,2,16,5,0,1,-4,2,17,0
13,3,1,25,93795,-4,1,20,5,0,1,-4,2,15,396970
9,3,2,17,53457,-4,1,16,5,0,1,-4,2,16,106000
12,3,2,23,41120,-4,-5,15,3,0,1,-4,4,14,-5
12,3,2,26,63654,11,-5,12,2,0,1,1,6,18,-5
13,3,2,24,94740,17,2,18,5,0,1,-4,2,14,123272
11,3,2,21,94806,-4,-5,18,5,0,1,-4,2,15,-5
9,3,1,20,61616,11,-5,8,2,0,1,-4,0,-5,-5
11,2,1,30,13034,17,-4,12,2,0,1,-4,2,-4,0
9,1,2,-5,1046,11,-5,8,3,1,0,0,1,-5,-5
13,1,2,23,42659,-4,-4,15,6,1,1,-4,3,-4,-5
12,1,2,15,12454,-4,-4,14,4,1,1,-4,3,-4,25000
11,1,1,22,50796,-4,2,14,4,1,0,-4,3,-4,12000
10,1,1,21,77135,-4,2,13,4,1,1,-4,3,-4,-5
15,3,2,28,94269,11,1,16,1,0,1,-4,2,19,25000
12,1,2,24,80934,11,2,13,7,0,0,-4,4,16,40000
10,1,2,20,78189,3,-4,18,7,0,0,-4,4,14,0
10,2,2,23,25048,-4,-4,12,4,0,0,-4,6,-4,0
15,2,1,30,21330,-4,3,15,4,0,1,-4,1,15,0
13,2,2,30,20264,-4,3,14,4,0,1,-4,1,25,-5
12,2,2,24,92951,11,-4,17,4,0,1,-4,3,18,70000
11,2,1,23,27814,-4,-4,12,2,0,0,-4,0,17,50000
11,2,1,25,18024,-4,3,11,7,0,1,-4,4,-4,0
11,2,2,20,6887,-4,-4,16,3,0,1,-4,1,-4,21000
9,3,1,18,1739,-4,-4,9,4,0,1,-4,2,-4,0
9,3,1,24,48817,-4,-5,9,4,0,1,-4,2,13,-5
13,2,2,17,34992,11,-4,18,10,0,1,-4,5,17,34000
10,2,2,22,11714,11,-4,18,10,0,1,-4,5,16,10000
9,2,2,18,2463,11,-4,12,10,0,0,-4,5,-4,1067
6,2,1,19,2123,11,-5,7,10,0,1,-4,5,-5,-5
10,3,1,22,15354,-4,-4,10,6,0,1,-4,6,-1,-5
8,3,2,22,5019,11,-5,8,6,0,1,-4,6,-5,-5
7,3,2,22,12579,-4,1,12,6,0,1,-4,7,-4,27000
14,2,2,22,11508,-4,-4,13,9,0,1,-4,3,-4,-2
11,2,1,26,27875,-4,-5,14,9,0,1,-4,3,-4,-5
12,2,1,27,30357,11,1,12,5,0,1,-4,3,22,115000
12,2,2,19,4022,11,3,12,8,0,0,-4,6,-4,0
7,2,1,25,3975,6,-5,12,8,0,1,-4,4,16,-5
12,2,1,19,11116,-4,-5,12,4,0,0,-4,3,20,2300
11,3,1,19,54747,-4,-5,12,4,0,0,-4,6,17,-5
-3,3,1,20,70007,-4,-5,12,5,1,1,-4,2,-1,-5
8,3,1,20,21713,-4,1,13,5,1,1,-4,2,14,153000
11,3,1,28,18388,17,-4,13,2,0,0,-4,0,10,-5
12,3,2,-5,-4,11,-4,13,10,1,0,-3,6,17,0
12,3,1,20,-4,17,1,12,10,0,0,-4,0,11,51000
9,2,1,23,28972,-4,-5,12,4,0,1,-4,2,14,0
12,3,1,19,53555,-4,-5,12,2,0,0,-4,2,-5,-5
12,3,1,24,21195,-5,-5,12,3,0,1,-4,1,-5,-5
11,3,2,28,89081,11,3,18,3,0,1,-4,3,14,-5
13,3,2,26,89463,-4,1,16,5,0,1,-4,2,-4,1568
11,3,2,28,89511,-4,-5,12,5,0,1,-4,2,-4,-5
10,3,1,24,51000,17,-5,10,1,1,0,1,3,15,-5
11,3,2,25,38607,3,1,18,4,0,1,-4,5,30,50000
13,3,2,26,21982,11,4,18,3,1,1,-4,5,14,56000
8,3,2,19,24527,-4,4,10,4,0,1,-4,1,16,1472
12,3,1,25,51012,11,-5,12,3,1,1,-4,4,-5,-5
12,3,2,8,46920,-4,-4,13,5,0,1,-4,2,-5,6000
8,3,1,16,19847,-4,-4,12,5,0,1,-4,2,-4,0
12,3,2,25,35431,11,1,12,9,1,0,-4,6,-4,60000
12,3,2,17,31705,11,-5,12,9,0,0,-4,6,19,-5
11,3,2,19,18676,-4,-5,12,9,0,0,-4,6,16,-5
9,3,2,22,59694,-4,-4,14,9,0,1,-4,6,-4,25000
12,3,1,22,64625,-4,-4,15,5,0,1,-4,4,17,29000
10,3,2,22,76359,-4,1,16,5,0,1,-4,4,16,65000
10,3,1,26,16881,-4,1,12,6,0,1,-4,3,25,0
10,3,1,25,32157,-4,-4,14,6,0,1,-4,3,17,0
13,3,2,26,62443,-4,1,14,1,0,1,1,2,12,48000
9,3,1,11,43776,-4,4,14,2,0,0,-4,4,13,0
7,3,1,27,63141,17,-4,18,5,0,1,-4,5,14,396970
12,3,2,30,77831,11,-4,16,1,0,1,0,5,16,-5
12,3,1,23,72763,17,-4,15,5,0,1,-4,6,18,0
8,3,2,18,67272,3,-4,19,5,0,1,-4,2,-4,60000
9,3,1,24,75092,-4,1,20,6,0,1,-4,2,16,396970
12,3,2,18,34454,11,-4,12,3,1,1,-4,1,-5,0
8,3,2,22,77027,-4,1,12,5,0,1,-4,2,16,0
13,3,2,22,84004,11,1,14,5,0,0,-4,4,18,-5
9,3,2,18,42299,-4,-4,14,5,0,0,-4,4,16,-5
14,3,1,27,74270,-4,-5,19,3,0,0,-4,2,-4,-5
12,3,2,17,98982,11,1,20,5,0,0,-4,4,19,102000
9,3,2,18,99400,3,1,16,5,0,0,-4,4,25,132000
14,3,2,24,91112,-4,1,16,5,0,1,-4,4,18,0
9,3,2,21,76987,-4,2,18,3,0,0,-4,0,14,142000
9,2,2,25,31539,-4,-4,12,3,0,0,-4,-2,-2,-2
12,3,1,18,18701,-4,-4,15,8,1,1,-4,5,-4,-5
12,3,2,24,17885,-4,-5,12,8,1,0,-4,5,-4,-5
10,3,1,19,51063,-4,3,12,8,1,0,-4,5,17,110000
13,3,1,26,48318,-4,3,16,7,0,1,-4,7,-1,-5
13,3,1,28,74979,-4,2,18,7,0,0,-4,7,15,-5
10,3,2,29,85986,-4,-5,18,7,0,0,-4,7,-5,-5
14,3,2,20,58958,-4,4,16,4,0,0,-4,2,16,22000
9,3,1,20,81031,3,2,18,4,0,0,-4,2,-4,130000
13,3,1,27,90763,11,1,14,5,0,0,-4,2,15,100000
10,3,1,23,79141,-4,2,12,5,0,0,-4,2,17,100000
9,3,1,22,77607,-4,-5,16,3,0,1,-4,1,-5,-5
12,3,2,24,68563,-4,-5,15,3,0,0,-4,1,-5,-5
10,3,2,18,66224,11,-5,14,11,0,1,-4,9,-5,-5
9,3,1,20,86301,-4,1,13,11,0,0,-4,9,-4,-1
7,3,2,23,34209,-4,-5,14,10,0,0,-4,9,17,-5
13,2,2,20,65907,11,3,16,4,0,1,-4,3,17,83000
9,2,1,26,98970,3,-5,17,4,0,1,-4,3,-4,-5
12,3,1,27,72590,11,-5,12,2,0,0,-4,3,-4,125000
12,2,1,29,80348,11,1,20,4,0,1,-4,2,16,96000
14,2,1,16,100000,11,-4,17,4,0,1,-4,4,18,0
13,2,1,28,33465,-4,-4,13,4,0,1,-4,4,-1,-1
9,2,2,30,27639,-4,-4,17,5,0,1,-4,2,25,45000
16,2,1,30,65826,-4,1,19,3,0,1,-4,0,16,-5
10,3,1,24,75491,-4,-5,15,2,0,1,-4,0,12,-5
10,3,1,21,84632,-4,-5,12,6,0,1,-4,3,-5,-5
9,3,2,22,48483,-4,-4,12,6,0,1,-4,3,18,-5
10,3,1,19,54253,-4,-5,12,6,0,1,-4,4,13,-5
13,3,1,20,80288,-4,-4,12,6,0,1,-4,4,16,0
12,3,1,20,16139,11,3,12,6,0,1,-4,4,14,56000
11,3,1,24,35316,11,-4,13,4,0,0,-4,1,14,45000
10,3,2,17,65213,-4,2,16,4,0,0,-4,1,12,10000
12,3,1,23,52847,17,3,12,3,0,1,-4,0,15,-5
10,3,1,-3,89713,11,-5,16,6,0,0,-4,3,18,-5
8,3,1,19,95206,11,1,16,6,0,0,-4,3,-4,184000
9,3,2,19,87896,-4,-4,16,3,0,1,-4,2,-4,48000
16,3,2,24,-4,11,2,16,6,0,1,-4,2,-4,-5
12,3,2,19,25825,11,-5,12,4,0,1,-4,5,-4,-5
10,3,2,23,62361,-4,-5,13,4,0,1,-4,5,-5,-5
13,3,1,24,73196,11,2,16,4,0,1,-4,1,19,90000
9,3,2,21,86623,-4,-5,15,3,1,1,-4,3,17,-5
11,3,2,-5,-5,11,3,12,2,0,1,-4,4,-4,-5
12,3,2,28,73678,11,2,12,2,0,1,1,2,17,-5
15,3,1,23,52758,11,-5,16,5,0,1,-4,4,19,-5
11,3,1,23,40203,11,-5,15,5,0,0,-4,4,-5,-5
11,3,2,23,41012,11,1,12,8,0,1,-3,7,-4,46000
9,3,1,19,41461,-4,-4,12,8,0,1,-4,7,14,0
8,3,2,21,46630,-4,2,12,8,0,1,-4,7,16,75000
14,3,2,30,41650,11,-5,14,3,0,1,-4,3,18,0
13,3,1,26,76206,11,2,14,5,0,1,-4,2,18,100000
11,3,2,20,77549,11,1,13,7,1,1,-4,4,16,39000
9,3,2,18,75246,3,1,18,7,0,1,-4,4,12,65000
12,3,2,24,89754,-4,2,16,6,1,1,-4,4,-4,42000
14,3,2,28,86745,11,1,14,6,1,1,-4,4,19,-5
8,3,1,30,79069,3,3,13,6,1,1,-4,4,16,-5
10,3,2,27,93457,3,2,16,5,0,1,-4,2,17,0
12,3,2,22,91975,-4,-5,14,4,0,1,-4,3,-5,-5
15,3,2,26,96365,11,1,19,8,0,1,-4,6,-4,24800
15,3,2,20,84702,11,-4,16,2,0,1,1,6,-4,1500
13,3,2,19,98418,11,-4,16,8,0,1,-4,6,-4,200
9,3,1,26,100000,3,-4,17,9,0,1,-4,6,15,200000
13,3,2,18,92486,-4,-4,13,5,0,1,-4,2,-4,75000
14,3,2,25,68906,11,-4,16,5,0,1,-4,2,20,6000
13,1,2,25,27003,-4,1,16,3,1,1,-3,1,18,-5
0,1,2,22,131,11,-4,0,8,1,0,-4,7,-4,16000
8,1,2,19,0,11,-4,8,8,1,0,-4,11,-5,24000
7,1,1,20,0,-4,-5,7,8,1,0,-4,10,-4,-5
6,1,2,22,0,11,-4,7,8,1,0,-4,10,-4,28000
8,3,1,22,55549,17,-5,12,4,0,1,-4,4,-5,-5
-3,3,1,22,12346,11,2,12,1,0,0,-4,4,17,78000
-3,3,1,19,15622,-4,-4,12,2,0,0,-4,1,-4,0
10,3,2,19,95099,11,-5,18,5,0,1,-4,2,-4,-5
9,3,1,29,95575,3,-5,17,5,0,1,-4,2,-5,-5
12,3,2,26,25156,11,-4,12,3,0,1,-4,2,-4,0
12,3,2,21,70650,12,1,12,3,0,1,0,4,16,63325
12,3,2,29,34824,11,-5,12,3,0,-2,1,4,16,-5
11,2,2,25,8376,11,3,12,4,0,0,0,6,-4,32000
-3,3,2,-5,-5,-5,-5,9,2,1,1,-4,3,14,-5
10,3,1,-5,-5,17,-4,13,6,1,1,-4,3,-5,80000
8,3,1,25,-4,17,-5,15,6,0,1,-4,3,-4,396970
7,3,2,17,-4,17,-4,18,6,0,1,-4,3,17,20000
9,3,2,20,44827,-4,-4,12,4,0,1,-4,1,-4,28000
8,3,1,20,28581,-4,2,12,4,0,0,-4,1,23,60000
12,3,2,-5,-5,-5,1,12,5,0,1,-4,6,15,40000
13,3,1,17,63061,-4,-4,12,7,0,1,-4,4,15,-5
18,3,2,-5,39194,11,-4,12,7,0,1,-4,4,15,0
10,3,2,20,14135,-4,3,14,7,0,1,-4,4,-4,5000
10,3,2,26,25830,-4,2,14,7,0,1,-4,4,15,51000
10,3,2,19,83153,-4,2,18,5,0,1,-4,2,16,45000
8,3,1,17,22708,17,-4,12,5,0,1,-4,2,15,-5
12,3,1,30,88411,11,-4,14,8,0,1,-4,5,-4,17000
11,3,1,30,47612,11,-5,13,8,0,1,-4,5,-4,-5
10,3,1,27,63241,11,-4,16,8,0,1,-4,5,18,98000
12,3,1,21,96279,3,3,16,6,0,1,-4,3,17,100000
10,3,2,26,82154,-4,2,14,6,0,1,-4,3,14,60000
9,3,1,24,88224,17,5,16,6,0,1,-4,3,16,90000
12,3,2,27,43428,11,1,12,5,1,1,-4,2,22,25155
15,3,1,30,94705,11,-4,15,5,0,1,-4,2,17,105000
9,3,2,25,97109,3,-4,18,3,1,1,-4,0,-4,2000
12,3,1,22,49625,11,-5,12,6,0,1,-4,3,18,-5
11,3,1,21,18838,11,3,12,6,0,1,-4,3,-4,-5
13,3,1,22,58518,11,-5,18,6,0,1,-4,3,15,-5
11,3,1,27,30285,11,-4,12,6,0,1,-4,3,14,135000
11,3,1,29,12607,17,-5,12,7,0,1,-4,3,5,140000
11,3,2,19,18263,11,-4,12,1,0,1,0,2,16,22000
10,3,2,19,33828,11,-4,15,4,0,1,-4,2,13,0
12,3,2,13,63210,11,-4,14,5,1,1,-4,2,-5,0
14,3,1,-5,43424,11,-5,12,4,0,0,-4,2,-1,-5
9,3,1,25,39476,11,2,12,4,0,1,-4,2,17,110000
12,3,2,21,25652,11,-5,12,3,0,1,-4,5,-4,-5
14,3,2,28,65371,11,-4,14,2,0,1,0,2,18,69000
12,3,1,20,14447,-4,-4,13,6,1,0,-4,8,-4,42000
12,3,1,16,23172,-4,1,13,6,1,0,-4,3,-4,50000
6,3,1,24,5647,-4,-5,12,6,1,0,-4,3,18,-5
10,3,2,23,93419,3,2,18,8,1,1,-4,5,-4,-5
13,3,2,29,83037,11,2,14,7,0,1,-4,6,-4,114000
12,3,2,22,34632,11,-4,12,7,0,1,-4,6,18,45000
11,3,2,26,53699,11,2,12,7,0,1,-4,6,-5,-5
10,3,1,20,49900,-4,-5,15,4,1,0,-4,0,-4,25000
13,3,1,-5,-5,-5,-5,13,4,0,1,1,5,-5,-5
10,3,2,22,21083,-4,-5,12,3,0,0,-4,2,16,36000
9,3,1,23,66416,-4,4,12,2,0,0,-4,6,16,76000
12,3,1,21,56788,11,-4,12,1,1,1,1,3,-1,69000
12,3,1,17,51167,11,-4,13,2,0,1,-4,3,-1,0
12,3,1,20,36121,11,1,12,2,0,1,1,3,18,22000
12,3,2,18,63829,11,2,14,7,0,1,-4,4,19,35424
9,3,1,23,91675,-4,1,15,6,0,0,-4,4,16,105000
14,3,2,27,22579,-5,-5,14,3,1,1,-4,1,-4,-5
12,3,1,-5,-4,-5,1,18,2,1,0,0,4,20,-5
12,1,2,27,55835,11,-5,17,3,1,1,1,3,-4,-5
10,3,2,21,22447,11,-5,12,2,0,1,0,4,16,-5
12,1,2,26,43096,11,2,12,2,1,1,1,3,-4,8200
12,3,1,21,56814,11,-5,12,1,0,0,-4,5,-4,-5
12,3,2,24,37546,11,-5,12,3,0,1,0,5,-5,-5
12,3,2,25,56313,11,3,14,6,0,0,-4,3,-5,108685
12,3,2,24,79063,11,1,16,6,0,0,-4,3,17,48500
10,3,1,26,75331,11,-5,14,6,0,0,-4,3,14,-5
10,3,2,20,21706,-4,2,12,3,0,1,-4,0,-4,-1
10,3,1,23,-4,11,2,12,3,0,0,-4,2,14,30000
11,3,1,27,18559,-4,-5,11,2,0,0,-4,5,-5,-5
10,3,2,26,81893,11,2,12,3,1,1,-4,0,18,-5
8,3,2,25,19351,-4,1,12,6,0,0,-4,2,25,25000
11,3,1,28,18312,-4,4,12,4,0,1,-4,2,16,48000
10,3,2,24,74184,11,-4,12,5,0,0,-4,3,14,32000
15,3,1,22,99396,11,2,18,1,0,1,1,1,-4,80
9,3,1,25,26619,-4,-4,12,6,0,0,-4,3,19,36000
8,3,1,27,44921,-4,-5,12,6,0,0,-4,3,-5,-5
12,3,2,18,23609,11,5,12,4,0,1,1,6,-5,-5
12,3,2,15,5699,-4,-4,12,7,0,1,-4,6,-4,-5
10,3,1,20,33591,3,-5,18,7,0,0,-4,6,-4,80000
9,3,1,18,40802,11,3,14,7,0,0,-4,6,16,25000
7,3,2,17,13607,-4,2,12,4,0,0,-4,1,18,25000
9,3,2,26,61807,-4,-4,12,9,0,1,-4,6,16,28111
12,3,2,20,27020,11,2,13,2,0,1,-4,1,16,85000
14,3,1,26,98118,11,-5,16,4,0,1,-4,2,-5,-5
12,3,1,22,36108,11,-5,12,7,0,0,-4,6,-5,-5
12,3,2,30,58406,11,2,12,7,0,0,-4,6,17,6000
10,3,1,25,44683,-4,-5,13,7,0,0,-4,6,-4,-5
8,3,1,19,54924,-4,-5,16,7,0,0,-4,6,-5,-5
11,3,1,20,95493,3,6,16,3,0,0,-4,2,16,69000
13,3,2,25,65807,11,2,13,3,0,1,-4,2,23,10000
12,3,2,27,53789,11,-4,12,3,1,0,1,2,14,13000
13,3,1,30,85393,-4,2,14,2,0,0,-4,1,19,-5
14,1,1,27,89897,11,1,16,6,0,0,-4,3,14,145000
12,1,2,29,92404,11,-5,19,6,0,0,-4,3,-4,-5
10,1,2,21,63329,11,-5,17,6,0,0,-4,3,15,-5
12,3,2,28,38672,-4,-4,12,3,0,1,-4,4,-4,31000
12,2,1,25,67319,11,2,12,3,1,1,0,0,21,42700
8,2,1,25,17587,-5,-4,9,4,0,1,-4,3,14,0
11,2,1,-3,36551,-4,4,11,4,0,1,-4,3,17,24000
9,2,1,19,11028,17,-5,13,3,0,1,-4,4,15,4562
11,2,2,22,12436,11,-5,10,4,0,0,0,4,-4,32000
8,2,2,23,29695,-4,-4,13,4,0,1,-4,4,14,-5
8,2,2,18,5665,-4,2,12,2,0,1,-4,13,14,0
9,2,2,27,40382,-4,-4,14,7,1,1,-4,4,-4,48000
8,2,2,26,55054,3,1,15,7,0,1,-4,4,-4,43000
13,2,2,26,40401,11,1,14,7,1,1,-4,4,-4,-5
10,2,2,28,23819,-4,1,14,7,0,1,-4,4,16,55000
10,3,2,22,29121,11,-4,12,3,0,1,-4,6,-4,30000
11,3,1,29,62616,-4,2,12,7,0,1,-4,6,-4,62000
10,3,2,29,95741,-4,-4,16,7,0,1,-4,6,-4,140000
8,3,2,29,83704,-4,1,16,7,0,1,-4,6,-4,67000
11,3,1,28,78494,-4,4,12,5,0,0,-4,8,19,26000
9,3,2,20,65232,11,5,10,5,0,1,-4,8,15,52839
12,3,2,18,30231,11,-4,12,1,0,1,1,8,16,10500
12,3,2,22,26054,11,3,12,1,0,1,1,3,18,14500
12,3,2,19,34815,11,4,12,5,0,1,-4,3,-4,55000
10,3,2,18,72743,11,3,17,5,0,1,-4,3,17,185000
12,3,1,-3,83662,-4,5,12,4,0,1,-4,4,14,0
9,3,2,17,80612,11,2,12,4,0,1,-4,4,15,32000
7,3,1,16,4231,11,3,12,3,0,0,-4,4,12,67000
12,3,1,17,16231,11,1,12,8,1,0,-4,9,16,-5
11,3,1,21,25734,11,4,12,7,1,1,-4,9,-4,35000
11,3,2,24,12964,11,2,12,8,0,1,-4,9,16,0
12,3,2,24,84823,11,-5,12,2,0,1,1,8,17,-5
12,3,2,20,46411,11,-4,12,2,0,0,1,9,-4,0
12,3,1,20,62489,11,3,14,7,0,0,-4,4,-4,0
10,3,2,17,29205,-4,-5,12,7,0,0,-4,4,-5,14000
9,3,1,18,19175,-4,3,12,8,0,0,-4,4,-4,71000
9,3,1,18,4347,-4,2,12,6,1,0,-4,4,15,65000
8,3,1,20,20536,-4,3,9,6,0,0,-4,4,18,-5
8,3,2,19,18677,11,3,10,6,0,0,-4,4,17,-5
10,3,2,28,99639,-4,1,12,4,0,1,-4,1,-4,18000
8,3,2,24,98092,-4,2,12,4,0,1,-4,1,-4,65000
12,3,1,21,28797,11,-4,12,7,0,0,-4,4,-1,65000
12,3,2,19,64704,11,2,12,7,0,1,-4,4,-4,0
10,3,1,16,2051,11,-5,12,7,0,0,-4,4,-5,-5
8,3,1,28,17919,-4,-5,12,7,0,0,-4,4,-5,60000
12,3,1,25,42908,11,1,12,2,0,0,1,2,-4,48000
12,3,1,20,75229,-4,8,12,3,0,0,-4,1,17,52000
14,3,1,28,55513,11,3,16,1,0,1,1,3,15,160000
11,3,1,21,77911,11,3,18,4,0,1,-4,1,16,396970
10,3,1,18,99022,3,1,19,4,0,1,-4,1,14,135000
12,3,2,23,18188,11,-4,12,3,0,1,-4,2,9,0
11,3,1,20,94650,3,3,16,4,0,1,-4,2,16,-5
9,3,2,-5,-5,11,4,13,4,0,1,-4,9,16,36000
13,3,1,26,76091,11,2,14,3,1,1,-4,2,16,65000
10,3,1,20,71155,11,2,18,3,1,1,-4,2,15,120000
12,3,1,23,51560,11,3,12,3,0,1,-4,2,15,40670
12,3,1,28,90906,11,-4,13,4,0,1,-4,3,-4,63000
12,3,1,19,77562,11,2,12,6,0,0,-4,6,15,0
10,3,1,22,61802,-4,2,12,6,0,0,-4,6,-2,75000
8,3,1,20,71054,-4,-4,12,6,0,0,-4,6,12,-5
12,3,2,21,29377,11,8,12,1,0,1,1,8,17,10000
11,3,1,23,40522,-4,4,12,5,0,1,-4,8,17,50000
8,3,1,20,48605,-4,4,12,5,0,0,-4,8,-4,-5
14,3,2,21,54584,11,2,14,6,0,1,-4,10,13,0
12,3,1,26,21334,-4,3,12,4,1,1,-4,1,-4,60000
12,3,1,23,52464,-4,-5,12,4,1,1,-4,1,-5,-5
12,3,1,23,57648,11,2,12,4,0,1,-4,4,16,-5
8,3,2,28,79229,11,2,16,5,0,1,-4,3,-4,58000
12,3,1,30,62217,11,2,13,5,0,1,-4,3,18,99750
12,3,2,17,61383,11,2,12,5,0,1,-4,3,17,81000
10,3,1,19,26294,-4,1,12,5,0,1,-4,3,-4,62000
